year;Biomass;Coal and coke;Crude oil and petroleum products;Natural gas, gasworks gas;Other fuels;Nuclear fuel;Primary heat;Hydropower;Windpower;Net electricity import;Total
1970;43;18;336;0,0;0;0;0,0;41;0,0;4,0;442
1971;40;17;311;0,0;0;0;0,0;52;0,0;2,0;422
1972;40;17;317;0,0;0;4;0,0;54;0,0;1,0;433
1973;42;19;328;0,0;0;7;0,0;60;0,0;1,0;457
1974;44;21;292;0,0;0;6;0,0;57;0,0;3,0;423
1975;44;22;289;0,0;0;36;0,0;58;0,0;1,0;450
1976;43;21;317;0,0;0;48;0,0;55;0,0;2,0;486
1977;41;17;314;0,0;0;60;0,0;54;0,0;-2,0;484
1978;45;18;297;0,0;0;71;0,0;58;0,0;-1,0;488
1979;47;21;305;0,0;0;64;0,0;61;0,0;2,0;500
1980;48;19;275;0,0;0;76;1,0;59;0,0;1,0;479
1981;50;17;254;0,0;0;114;1,0;60;0,0;-3,0;493
1982;48;19;235;0,0;0;117;1,0;55;0,0;3,0;478
1983;52;25;202;0,0;2;124;0,7;64;0,0;4,9;473
1984;58;29;191;0,0;2;152;1,9;68;0,0;0,4;501
1985;61;36;200;0,8;3;173;3,2;71;0,0;-1,5;546
1986;61;35;200;2,3;4;202;5,3;61;0,0;-4,7;566
1987;61;34;196;3,2;4;200;6,9;72;0,0;-4,2;573
1988;63;32;196;4,0;4;207;6,9;70;0,0;-2,6;580
1989;62;31;189;5,4;5;196;6,8;72;0,0;-0,5;566
1990;61;32;168;6,7;5;202;7,1;73;0,0;-1,8;553
1991;64;29;170;7,2;7;228;7,4;63;0,0;-1,3;574
1992;65;28;165;8,1;7;188;6,9;74;0,0;-2,2;540
1993;68;28;161;8,0;7;182;7,2;75;0,0;-0,6;536
1994;72;28;171;7,9;7;217;6,9;59;0,1;0,3;569
1995;77;28;176;7,9;7;207;7,0;68;0,1;-1,7;578
1996;81;31;188;8,5;7;224;6,9;52;0,1;6,1;605
1997;83;26;174;8,4;7;206;6,1;69;0,2;-2,7;577
1998;82;25;176;8,7;9;218;7,4;75;0,3;-10,7;591
1999;83;25;174;8,3;7;213;7,5;72;0,4;-7,5;583
2000;84;24;168;8,1;7;168;7,5;79;0,5;4,7;551
2001;86;26;163;9,2;8;214;7,6;79;0,5;-7,3;586
2002;91;26;174;9,3;9;201;7,7;66;0,6;5,4;590
2003;96;26;174;10,3;10;200;6,6;53;0,6;12,8;589
2004;96;27;177;10,3;12;227;6,7;61;0,9;-2,1;615
2005;105;25;164;9,8;9;210;6,2;72;0,9;-7,4;595
2006;109;27;163;10,2;13;194;5,8;62;1,0;6,1;590
2007;113;26;148;10,5;14;191;5,8;66;1,4;1,3;578
2008;115;23;154;9,6;14;184;5,7;69;2,0;-2,0;575
2009;119;17;143;12,8;13;149;5,2;66;2,5;4,7;533
2010;128;24;157;17,2;14;166;5,4;67;3,5;2,1;584
2011;123;23;151;14;14;171;5;67;6;-7;567
2012;129;21;145;11,8;13;188;5,8;79;7,2;-19,6;580
2013;129;22;134;11;14;189;4;61;10;-10;565
