name;Owner;normal_prod;capacity;aggregates;turbine_type;station;height;Vattenf;mean_runoff;magasin;river;location;community;region;Lat;Long
Stornorrfors;Vattenfall Umeälven AB;2256073;599400;5;Francis;Underjordsanläggning;75;1045;440;;Umeälven;Umeå;Umeå kommun;Västerbottens län;63.85361;20.04945
Harsprånget;Vattenfall Vattenkraft AB;2131000;977000;5;Francis;Underjordsanläggning;107;1119;275;6;Luleälven;Porjus;Jokkmokks kommun;Norrbottens län;66.88498;19.82726
Letsi;Vattenfall Vattenkraft AB;1857388;456000;3;Francis;Underjordsanläggning;135;369;181;67;Luleälven;Vuollerim;Jokkmokks kommun;Norrbottens län;66.50416;20.38157
Messaure;Vattenfall Vattenkraft AB;1851441;446100;3;Francis;Underjordsanläggning;87;615;278;53;Luleälven;Vuollerim;Jokkmokks kommun;Norrbottens län;66.69241;20.34818
Ligga;Vattenfall Vattenkraft AB;1655788;326750;3;Kaplan;Underjordsanläggning;40;1087;277;6;Luleälven;Porjus;Jokkmokks kommun;Norrbottens län;66.81001;19.89609
Krångede;Fortum Generation AB;1622400;248400;6;Francis;Underjordsanläggning;60;500;383;60;Indalsälven;Hammarstrand;Ragunda kommun;Jämtlands län;63.14625;16.07399
Trollhättan (Olidan & Hojum);Vattenfall Vattenkraft AB;1260000;249000;16;13 Francis, 3 Kaplan;Ovanjordsanläggning;32;1040;540;;Göta älv;Trollhättan;Trollhättans kommun;Västra Götalands län;58.27528;12.27260
Porjus;Vattenfall Vattenkraft AB;1234316;480600;2;Francis;Underjordsanläggning;60;930;274;610;Luleälven;Porjus;Jokkmokks kommun;Norrbottens län;66.95849;19.80478
Porsi;Vattenfall Vattenkraft AB;1147886;274000;3;2 Kaplan, 1 Propellerturbin;Ovanjordsanläggning;33;950;460;;Luleälven;Vuollerim;Jokkmokks kommun;Norrbottens län;66.42881;20.65313
Vietas;Vattenfall Vattenkraft AB;1123970;306000;2;Francis;Ovanjordsanläggning;83;530;234;7260;Luleälven;Stora Sjöfallet;Gällivare kommun;Norrbottens län;67.48893;18.35150
Lasele;Vattenfall Ångermanälven AB;1001810;149600;2;Kaplan;Underjordsanläggning;54;330;189;;Ångermanälven;Näsåker;Sollefteå kommun;Västernorrlands län;63.55558;16.82307
Hjälta;E.ON Vattenkraft Sverige AB;983000;178000;3;Francis;Underjordsanläggning;82;270;170;;Faxälven;Långsele;Sollefteå kommun;Västernorrlands län;63.18379;17.09765
