name;normal_prod;capacity;aggregates;turbine_type;station;height;Vattenf;mean_runoff;magasin;river;location;community;region;Lat;Long
Stornorrfors;2256073;599400;5;Francis;Underjordsanläggning;75;1045;440;;Umeälven;Umeå;Umeå;Västerbottens;63.85361;20.04945
Harsprånget;2131000;977000;5;Francis;Underjordsanläggning;107;1119;275;6;Luleälven;Porjus;Jokkmokks;Norrbottens;66.88498;19.82726
Letsi;1857388;456000;3;Francis;Underjordsanläggning;135;369;181;67;Luleälven;Vuollerim;Jokkmokks;Norrbottens;66.50416;20.38157
Messaure;1851441;446100;3;Francis;Underjordsanläggning;87;615;278;53;Luleälven;Vuollerim;Jokkmokks;Norrbottens;66.69241;20.34818
Ligga;1655788;326750;3;Kaplan;Underjordsanläggning;40;1087;277;6;Luleälven;Porjus;Jokkmokks;Norrbottens;66.81001;19.89609
Krångede;1622400;248400;6;Francis;Underjordsanläggning;60;500;383;60;Indalsälven;Hammarstrand;Ragunda;Jämtlands;63.14625;16.07399
Trollhättan (Olidan & Hojum);1260000;249000;16;13 Francis, 3 Kaplan;Ovanjordsanläggning;32;1040;540;;Göta älv;Trollhättan;Trollhättans;Västra Götalands;58.27528;12.27260
Porjus;1234316;480600;2;Francis;Underjordsanläggning;60;930;274;610;Luleälven;Porjus;Jokkmokks;Norrbottens;66.95849;19.80478
Porsi;1147886;274000;3;2 Kaplan, 1 Propellerturbin;Ovanjordsanläggning;33;950;460;;Luleälven;Vuollerim;Jokkmokks;Norrbottens;66.42881;20.65313
Vietas;1123970;306000;2;Francis;Ovanjordsanläggning;83;530;234;7260;Luleälven;Stora Sjöfallet;Gällivare;Norrbottens;67.48893;18.35150
Lasele;1001810;149600;2;Kaplan;Underjordsanläggning;54;330;189;;Ångermanälven;Näsåker;Sollefteå;Västernorrlands;63.55558;16.82307
Hjälta;983000;178000;3;Francis;Underjordsanläggning;82;270;170;;Faxälven;Långsele;Sollefteå;Västernorrlands;63.18379;17.09765
Kilforsen;970000;288000;3;Francis;Underjordsanläggning;99;350;131;;Fjällsjöälven;Näsåker;Sollefteå;Västernorrlands;63.54153;16.76265
Harrsele;950000;223000;3;Francis;Underjordsanläggning;54.5;450;237;;Umeälven;Harrsele;Vännäs;Västerbottens;64.01862;19.56166
Ramsele;869000;157000;3;Francis;Underjordsanläggning;79.2;240;155;;Faxälven;Nässjö;Sollefteå;Västernorrlands;63.58352;16.33112
Laxede;855000;200000;3;Kaplan;Ovanjordsanläggning;25.4;980;470;;Luleälven;Edefors;Bodens;Norrbottens;66.22394;20.86118
Stadsforsen;841288;132550;3;Kaplan;Ovanjordsanläggning;28.5;580;433;;Indalsälven;Bispgården;Ragunda;Jämtlands;62.97895;16.65777
Seitevare;787000;225000;1;Francis;Underjordsanläggning;180;135;58;1650;Luleälven;Tjåmotis;Jokkmokks;Norrbottens;66.97728;18.58330
Bergeforsen;735000;168000;4;Kaplan;Ovanjordsanläggning;23;840;444;;Indalsälven;Timrå;Timrås;Västernorrlands;62.52085;17.38630
Forsmo;730000;160000;4;Kaplan;Underjordsanläggning;34;600;320;;Ångermanälven;Sollefteå;Sollefteå;Västernorrlands;63.27114;17.20023
Midskog;725000;150000;3;Kaplan;Ovanjordsanläggning;27;640;373;53;Indalsälven;Midskog;Ragunda;Jämtlands;63.23974;15.23656
Hölleforsen;720000;148000;3;Kaplan;Ovanjordsanläggning;25;720;430;;Indalsälven;Utanede;Ragunda;Jämtlands;62.95081;16.66838
Gallejaur;705000;219000;2;Francis;Underjordsanläggning;80;;;;Skellefteälven;Högberg;Norsjö;Västerbottens;65.12714;19.46665
Trängslet;680000;330000;3;Francis;Underjordsanläggning;142;275;65;880;Dalälven;Åsen;Älvdalens;Dalarnas;61.38124;13.72358
Moforsen;641000;135000;3;Kaplan;Ovanjordsanläggning;28.1;600;320;;Ångermanälven;Resele;Sollefteå;Västernorrlands;63.36794;16.98724
Nämforsen;604151;114600;3;Kaplan;Nedgrävd anläggning;22;600;320;;Ångermanälven;Näsåker;Sollefteå;Västernorrlands;63.44011;16.88076
Akkats;591000;150000;2;Kaplan;Underjordsanläggning;46;450;176;42;Luleälven;Jokkmokk;Jokkmokks;Norrbottens;66.63151;19.81996
Bastusel;557473;120000;1;Francis;Underjordsanläggning;71;170;110.7;;Skellefteälven;Malå;Malå;Västerbottens;65.40503;18.67153
Hammarforsen;549276;79000;5;2 Francis, 3 Kaplan;Ovanjordsanläggning;19.5;485;424;;Indalsälven;Ragunda;Ragunda;Jämtlands;63.11413;16.35622
Stalon;548068;130200;1;Francis;Underjordsanläggning;199;65;38;665;Ångermanälven;Malgomaj;Vilhelminas;Västerbottens;64.94545;15.82789
Storfinnforsen;536000;132000;3;Francis;Underjordsanläggning;49.5;270;151;;Faxälven;Ramsele;Sollefteå;Västernorrlands;63.59839;16.12468
Höljes;530000;127000;2;Francis;Underjordsanläggning;88;167;94;270;Klarälven;Höljes;Torsby;Värmlands;60.95100;12.54343
Krokströmmen;522000;113000;3;2 Francis, 1 Kaplan;Underjordsanläggning;60;200;130;;Ljusnan;Ytterhogdal;Härjedalens;Jämtlands;62.04126;14.89985
Gammelänge;515000;69000;3;Kaplan;Ovanjordsanläggning;19;500;383;;Indalsälven;Hammarstrand;Ragunda;Jämtlands;63.14247;16.16082
Älvkarleby;510000;125000;6;5 Francis, 1 Kaplan;Ovanjordsanläggning;23;700;342;;Dalälven;Älvkarleby;Älvkarleby;Uppsala;60.56368;17.44205
Kvistforsen;500000;140000;2;Kaplan;Underjordsanläggning;51;;160;;Skellefteälven;Skellefteå;Skellefteå;Västerbottens;64.74468;20.86256
Bålforsen;495000;88000;2;Kaplan;Underjordsanläggning;31.1;305;217;;Umeälven;Lycksele;Lycksele;Västerbottens;64.65341;18.48462
Grundfors;492002;103500;2;Kaplan;Underjordsanläggning;35.3;330;192;;Umeälven;Storuman;Storumans;Västerbottens;64.96205;17.57875
